,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
6994,Purdue University,Philosophy,PhD,F10,Accepted,E-mail,"(15, 2, 2010)",1266220800,,,,,,,American,"(16, 2, 2010)",1266307200,
6995,Stanford University,Computational And Mathematical Engineering,PhD,F10,Rejected,E-mail,"(16, 2, 2010)",1266307200,,,,,,,International with US Degree,"(16, 2, 2010)",1266307200,
6996,"University Of North Carolina, Chapel Hill (UNC)",Social Psychology,PhD,F10,Rejected,Postal Service,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,Letter dated 2/5/10.
6997,University Of Southern California (USC),Film (Critical Studies),MS,F10,Accepted,E-mail,"(16, 2, 2010)",1266307200,,,,,,,,"(16, 2, 2010)",1266307200,file moved from PhD
6998,Stanford University,Computational And Mathematical Engineering,PhD,F10,Rejected,E-mail,"(16, 2, 2010)",1266307200,,,,,,,International,"(16, 2, 2010)",1266307200,
6999,George Washington University,Public Policy,MS,F10,Wait listed,Website,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,I'm an alternate! Yay!
7000,University Of South Florida,Community And Family Health,PhD,F10,Interview,E-mail,"(11, 2, 2010)",1265875200,,540.0,700.0,5.5,False,,International with US Degree,"(16, 2, 2010)",1266307200,
7001,City University Of New York (CUNY) Graduate Center,English (Language And Literature),PhD,F10,Accepted,E-mail,"(16, 2, 2010)",1266307200,,,,,,,International,"(16, 2, 2010)",1266307200,Funding Offer Enhanced Chancellor Fellowship
7002,University Of Iowa,Public Health (Biostatistics),PhD,F10,Interview,E-mail,"(16, 2, 2010)",1266307200,,,,,,,International with US Degree,"(16, 2, 2010)",1266307200,
7003,University Of Notre Dame,Mathematics,PhD,F10,Accepted,E-mail,"(16, 2, 2010)",1266307200,3.95,640.0,790.0,6.0,False,760.0,American,"(16, 2, 2010)",1266307200,
7004,"University Of North Carolina, Chapel Hill (UNC)",Biostatistics,PhD,F10,Accepted,Postal Service,"(16, 2, 2010)",1266307200,,,,,,,International with US Degree,"(16, 2, 2010)",1266307200,Anyone going for the campus visit in March?
7005,University Of Wiscousin-Madison,Geography,PhD,F10,,Website,"(16, 2, 2010)",1266307200,,580.0,800.0,4.5,False,,International,"(16, 2, 2010)",1266307200,"""Your department has recommended you for admission. The Graduate School will be reviewing your file. Please refer to this page for updates."" Hooray! Absolutely my dream choice~"
7006,Purdue University,Electrical And Computer Engineering,PhD,F10,Accepted,E-mail,"(16, 2, 2010)",1266307200,,380.0,800.0,3.5,False,,International,"(16, 2, 2010)",1266307200,
7007,"University Of Wisconsin, Madison",Geography,PhD,F10,Rejected,Website,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,
7008,Northwestern University,Philosophy,PhD,F10,Accepted,E-mail,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,University Fellowship
7009,University Of Notre Dame,Mathematics,PhD,F10,Accepted,E-mail,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,
7010,Duke University,Economics,PhD,F10,Rejected,Website,"(16, 2, 2010)",1266307200,4.0,650.0,790.0,4.0,False,,International,"(16, 2, 2010)",1266307200,two rejections one after the other- first cornell and now duke! can anyone who has been accepted by maryland kindly share his/ her profile? it'll be of great help!
7011,University Of Oklahoma,Anthropology (cultural),MS,F10,Accepted,E-mail,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,"Funded MA program, they don't accept students without masters into PhD."
7012,Purdue University,Physics,PhD,F10,Accepted,E-mail,"(16, 2, 2010)",1266307200,,,,,,,International,"(16, 2, 2010)",1266307200,
7013,City University Of New York (CUNY) Graduate Center,Biology (Ecology,PhD,F10,,E-mail,"(16, 2, 2010)",1266307200,,,,,,,Other,"(16, 2, 2010)",1266307200,"The Admissions Committee has not made a final determination regarding your application to the program.  As soon as a decision is communicated to the Office of Admissions, you will be promptly notified via mail. Please note that final decisions are usually made two to three months after the program deadline (Jan 1)."
7014,University Of Chicago,Anthropology (Archaeology),PhD,F10,Accepted,E-mail,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,One of the two schools tied for my first choice and the first school to respond!
7015,"University Of California, Irvine (UCI)",Computer Science,PhD,F10,,Website,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,"Status changed from ""under review"" to ""being reviewed"". What does that mean?"
7016,Ohio University (OU),Geology,MS,F10,Interview,E-mail,"(15, 2, 2010)",1266220800,,,,,,,American,"(16, 2, 2010)",1266307200,
7017,"Columbia University, Teachers College",Special Education,MS,F10,Interview,E-mail,"(15, 2, 2010)",1266220800,,,,,,,American,"(16, 2, 2010)",1266307200,
7018,Arizona State University (ASU),Anthropology (Archaeology),PhD,F10,Accepted,Phone,"(16, 2, 2010)",1266307200,3.8,670.0,630.0,4.0,False,,American,"(16, 2, 2010)",1266307200,Already have MA in International Relations and MA in Anthropology.  No funding available.
7019,Boston University,Anthropology,PhD,F10,Accepted,E-mail,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,waitlisted for funding
7020,Duke University,Religion,PhD,F10,Rejected,E-mail,"(16, 2, 2010)",1266307200,3.75,690.0,710.0,5.0,False,,American,"(16, 2, 2010)",1266307200,Email to check website ... fail.
7021,"University Of California, Berkeley (UCB)",EE,PhD,F10,Rejected,E-mail,"(15, 2, 2010)",1266220800,3.91,570.0,790.0,4.0,False,,International with US Degree,"(16, 2, 2010)",1266307200,
7022,Northwestern University,History (U.S.),PhD,F10,Rejected,Website,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,Ugh. Had my hopes up...
7023,University Of South Carolina,International Business,PhD,F10,Accepted,Phone,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,
7024,DePaul University,Community Psychology,PhD,F10,Wait listed,E-mail,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,30 applicants wait listed; 15 applicants invited for interviews. The program selects 3 applicants/year.
7025,Johns Hopkins University (JHU),Electrical and Computer Engineering (ECE),PhD,F10,Interview,Phone,"(16, 2, 2010)",1266307200,3.85,390.0,800.0,4.5,False,,International with US Degree,"(16, 2, 2010)",1266307200,Invited by openhouse on March 5th.
7026,Washington University in St. Louis (WashU/WUSTL),English,PhD,F10,Rejected,E-mail,"(16, 2, 2010)",1266307200,,,,,,,International,"(16, 2, 2010)",1266307200,
7027,Yale University,Political Science,PhD,F10,Rejected,Website,"(12, 2, 2010)",1265961600,,,,,,,International,"(16, 2, 2010)",1266307200,
7028,University Of Arizona,Math,PhD,F10,Interview,E-mail,"(16, 2, 2010)",1266307200,2.7,650.0,800.0,5.0,False,780.0,American,"(16, 2, 2010)",1266307200,"The email was noncommital about acceptance but they want me to come to a workshop in early march, they pay for airfare + hotel."
7029,"University Of North Carolina, Chapel Hill (UNC)",PhD Finance,PhD,F10,Rejected,Postal Service,"(16, 2, 2010)",1266307200,3.9,600.0,800.0,,False,,International with US Degree,"(16, 2, 2010)",1266307200,
7030,"University Of Illinois, Urbana Champaign (UIUC)",Classics,MS,F10,Rejected,E-mail,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,
7031,Northwestern University,Philosophy,PhD,F10,Accepted,E-mail,"(16, 2, 2010)",1266307200,,,,,,,International with US Degree,"(16, 2, 2010)",1266307200,Fellowship for 2010-11!
7032,"University Of Wisconsin, Madison",Library And Information Studies,MS,F10,Accepted,E-mail,"(15, 2, 2010)",1266220800,,,,,,,American,"(16, 2, 2010)",1266307200,
7033,Texas A&M University,Computer Science,PhD,F10,Accepted,E-mail,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,5 years of funding
7034,Duke University,Economics,PhD,F10,Rejected,E-mail,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,email to check website...womp womp
7035,University Of Pennsylvania (UPenn),Microbiology And Molecular Genetics,PhD,F10,Rejected,E-mail,"(8, 2, 2010)",1265616000,,,,,,,International,"(16, 2, 2010)",1266307200,
7036,Pennsylvania State University,Mathematics,PhD,F10,Accepted,Phone,"(9, 2, 2010)",1265702400,3.97,540.0,800.0,5.0,False,830.0,American,"(16, 2, 2010)",1266307200,
7037,Duke University,Economics,PhD,F10,Rejected,E-mail,"(16, 2, 2010)",1266307200,,,,,,,International,"(16, 2, 2010)",1266307200,
7038,"Rutgers University, New Brunswick",Mathematics,PhD,F10,Accepted,Phone,"(2, 2, 2010)",1265097600,3.95,540.0,800.0,5.0,False,830.0,American,"(16, 2, 2010)",1266307200,
7039,Duke University,Economics,PhD,F10,Rejected,Website,"(16, 2, 2010)",1266307200,,,,,,,International,"(16, 2, 2010)",1266307200,sucks...
7040,Arizona State University (ASU),Electrical Engineering,MS,F10,Accepted,Website,"(16, 2, 2010)",1266307200,3.31,570.0,800.0,4.0,False,,International,"(16, 2, 2010)",1266307200,Had a BS and MS degree from China. 2 publications. TOEFL=94. TRACK=Integrated Circuits.
7041,Cornell University,Agricultural And Applied Economics,PhD,F10,Rejected,E-mail,"(16, 2, 2010)",1266307200,,,,,,,International with US Degree,"(16, 2, 2010)",1266307200,"International UGPA: 3.2/4.0
International Master GPA: 3.9/4.0
US. Master GPA: 3.8/4.0
GRE 700/800/3.0
Several publications, research job experience about 2 years"
7042,"Indiana University, Bloomington (IUB)",Mathematics,PhD,F10,Wait listed,E-mail,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,I got the same e-mail that I am waitlisted and will probably not receive an offer
7043,University Of South Carolina,Ph.D. In Business Administration,PhD,F10,Accepted,Phone,"(16, 2, 2010)",1266307200,,,,,,,International with US Degree,"(16, 2, 2010)",1266307200,
7044,"University Of Massachusetts, Amherst",Linguistics,PhD,F10,Accepted,E-mail,"(15, 2, 2010)",1266220800,,,,,,,American,"(16, 2, 2010)",1266307200,
7045,Duke University,Economics,PhD,F10,Rejected,E-mail,"(16, 2, 2010)",1266307200,,540.0,800.0,4.5,False,,International,"(16, 2, 2010)",1266307200,
7046,Northwestern University,Philosophy,PhD,F10,Wait listed,E-mail,"(16, 2, 2010)",1266307200,,,,,,,,"(16, 2, 2010)",1266307200,
7047,Duke University,Economics,PhD,F10,Rejected,E-mail,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,
7048,Rutgers University,Physics And Astronomy,PhD,F10,Accepted,E-mail,"(16, 2, 2010)",1266307200,,510.0,800.0,3.5,False,990.0,International,"(16, 2, 2010)",1266307200,
7049,Duke University,Economics,PhD,F10,Rejected,E-mail,"(16, 2, 2010)",1266307200,,,,,,,International,"(16, 2, 2010)",1266307200,
7050,"University Of Michigan, Ann Arbor",Combined Program In Education And Psychology,PhD,F10,Rejected,Postal Service,"(10, 2, 2010)",1265788800,,,,,,,American,"(16, 2, 2010)",1266307200,"Postmarked 2/10. Generic letter addressed to ""Dear Applicant"""
7051,"Indiana University, Bloomington",Mathematics,PhD,F10,Wait listed,E-mail,"(16, 2, 2010)",1266307200,,,,,,,International,"(16, 2, 2010)",1266307200,"to those guys who are in wait-list at this program, how can we trust in this list? :("
7052,Duke University,Economics,PhD,F10,Rejected,E-mail,"(16, 2, 2010)",1266307200,,,,,,,International,"(16, 2, 2010)",1266307200,
7053,Boston University,Biomedical Engineering,PhD,F10,,E-mail,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,They *just* sent my app to the departmental committee. Are you kidding me?
7054,"Indiana University, Bloomington (IUB)",Mathematics,MS,F10,Wait listed,E-mail,"(16, 2, 2010)",1266307200,,,,,,,International,"(16, 2, 2010)",1266307200,"email said although in WL, unlikely to be admitted, anyone the same?"
7055,Duke University,English,PhD,S10,Rejected,E-mail,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,Knew it was coming but still depressing. I guess the rejection is no longer implicit.
7056,"University Of Maryland, College Park",Economics,PhD,F10,Accepted,E-mail,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,
7057,Yeshiva University- Ferkauf,Clinical And Health Psychology,PhD,F10,Interview,E-mail,"(18, 1, 2010)",1263801600,,,,,,,American,"(16, 2, 2010)",1266307200,I was impressed with the students' positive attitudes about the school.
7058,University Of Miami,Clinical And Health Psychology,PhD,F10,Rejected,Postal Service,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,
7059,Duke University,Religion,PhD,F10,Rejected,Website,"(16, 2, 2010)",1266307200,,,,,,,,"(16, 2, 2010)",1266307200,
7060,"University Of Maryland, College Park",Economics,PhD,F10,Accepted,E-mail,"(16, 2, 2010)",1266307200,,,,,,,International,"(16, 2, 2010)",1266307200,
7061,Michigan State University,Statistics,PhD,F10,Rejected,E-mail,"(16, 2, 2010)",1266307200,,,,,,,International with US Degree,"(16, 2, 2010)",1266307200,Sad. A grad core GPA of 4.0 and serious of prerequisite classes on applied math doesn't work without a good reputation college at my background....
7062,"University Of Maryland, College Park",Economics,PhD,F10,Accepted,E-mail,"(16, 2, 2010)",1266307200,,,,,,,International with US Degree,"(16, 2, 2010)",1266307200,
7063,University Of Florida,Computer Information Science Engineering,PhD,F10,Rejected,Phone,"(16, 2, 2010)",1266307200,,,,,,,International,"(16, 2, 2010)",1266307200,I heard only Indian and Chinese applicants are supposed to be accepted. umm... it was true!
7064,Northwestern University,Philosophy,PhD,F10,Accepted,E-mail,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,email from Dir of Admissions. hard copy to follow. University Fellowship!
7065,"University Of Washington, Seattle",Anthropology (Archaeology),PhD,F10,Rejected,Postal Service,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,not a good fit at all. not bothered by this one. bothered by the fact that i'm 0/3
7066,"Indiana University, Bloomington (IUB)",Physics,PhD,F10,Accepted,Other,"(16, 2, 2010)",1266307200,,,,,,,International,"(16, 2, 2010)",1266307200,I send them a email. Official letter will arrive in weeks.
7067,"University Of Wisconsin, Madison",Statistics,PhD,F10,Rejected,E-mail,"(13, 2, 2010)",1266048000,,,,,,,International,"(16, 2, 2010)",1266307200,first rejection
7068,Duke University,Theology,PhD,F10,Rejected,Website,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,
7069,Washington University in St. Louis (WashU/WUSTL),English,PhD,F10,Rejected,E-mail,"(13, 2, 2010)",1266048000,,,,,,,American,"(16, 2, 2010)",1266307200,
7070,"University Of Maryland, College Park",Economics,PhD,F10,Accepted,E-mail,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,"Top 10 UG, 800Q 780V 5AWA.  Physics/Math major, MS in Stat"
7071,University Of Pennsylvania (UPenn),Political Science,PhD,F10,Rejected,E-mail,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,
7072,"University Of Maryland, College Park",Economics,PhD,F10,Accepted,E-mail,"(16, 2, 2010)",1266307200,,,,,,,International,"(16, 2, 2010)",1266307200,
7073,Washington University in St. Louis (WashU/WUSTL),Social Work (MSW),MS,F10,Accepted,Phone,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,I phoned the admissions department and received a verbal accept. Top school in Social Work! The funding package TBD.
7074,Duke University,Economics,PhD,F10,Rejected,Website,"(16, 2, 2010)",1266307200,3.3,620.0,800.0,5.5,False,,Other,"(16, 2, 2010)",1266307200,"US Ugrad 3.3, Canadian MA. GRE 800Q620V5.5A. Cs in Ugrad math (A- in analysis), did fine in Canadian MA."
7075,University Of Maryland,Econ,PhD,F10,Accepted,E-mail,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,
7076,"University Of Maryland, College Park",Economics,PhD,F10,Accepted,E-mail,"(16, 2, 2010)",1266307200,,,,,,,International,"(16, 2, 2010)",1266307200,
7077,University Of Maryland,Economics,PhD,F10,Accepted,E-mail,"(16, 2, 2010)",1266307200,,,,,,,International with US Degree,"(16, 2, 2010)",1266307200,"more floodgates.  first duke, now this?  but yay!"
7078,"University Of Michigan, Ross School Of Business",Strategy,PhD,F10,Interview,E-mail,"(15, 2, 2010)",1266220800,,,,,,,American,"(16, 2, 2010)",1266307200,Phone interviews with five shortlisted candidates out of ~120 applicants
7079,"University Of California, Berkeley (UCB)",EECS (CS),PhD,F10,Rejected,E-mail,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,meh
7080,"University Of Maryland, College Park",Economics,PhD,F10,Accepted,E-mail,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,!!!!!!!!!!!!
7081,"University Of Maryland, College Park",Economics,PhD,F10,Accepted,E-mail,"(16, 2, 2010)",1266307200,,,,,,,International with US Degree,"(16, 2, 2010)",1266307200,
7082,University Of South Florida,Biomedical Engineering,PhD,F10,Accepted,E-mail,"(15, 2, 2010)",1266220800,,,,,,,International with US Degree,"(16, 2, 2010)",1266307200,got an e-mail from proff intimating me about the acceptance... :)
7083,Brown University,Biostatistics,PhD,F10,Rejected,E-mail,"(16, 2, 2010)",1266307200,,,,,,,International with US Degree,"(16, 2, 2010)",1266307200,
7084,Duke University,Economics,PhD,F10,Rejected,Website,"(16, 2, 2010)",1266307200,3.89,560.0,790.0,6.0,False,,American,"(16, 2, 2010)",1266307200,
7085,University Of Chicago,Anthropology,PhD,F10,Accepted,E-mail,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,huzzah
7086,Duke University,Economics,PhD,F10,Rejected,Website,"(16, 2, 2010)",1266307200,,,,,,,International,"(16, 2, 2010)",1266307200,
7087,Duke University,Economics,PhD,F10,Rejected,E-mail,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,"Yes it's true, Duke has opened the flood gates"
7088,"University of Texas, Austin (UT Austin)",Classics,PhD,F10,Accepted,E-mail,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,
7089,"University Of Wisconsin, Madison",Chemical Engineering,PhD,F10,Rejected,Website,"(11, 2, 2010)",1265875200,3.95,550.0,800.0,4.5,False,,International,"(16, 2, 2010)",1266307200,Ohhhh... sooooo saadd. I am cryiiiiinnnnn`!!!! Wisconsin was my dream school..I will be back in some time later...
7090,Duke University,Economics,PhD,F10,Rejected,E-mail,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,
7091,Harvard University,Government Political Science,PhD,F10,Accepted,E-mail,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,IN!!!!!!! 1 OF 9!!!!!!!!!
7092,Duke University,Medical Physics,MS,F10,Accepted,E-mail,"(16, 2, 2010)",1266307200,,,,,,,International,"(16, 2, 2010)",1266307200,
7093,Duke University,Economics,PhD,F10,Rejected,E-mail,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,First notification is a rejection.
7094,"Indiana University, Bloomington (IUB)",Political Science,PhD,S10,Accepted,E-mail,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,Financial info to follow.
7095,Duke University,Economics,PhD,F10,Rejected,Website,"(16, 2, 2010)",1266307200,,,,,,,International,"(16, 2, 2010)",1266307200,
7096,Bowling Green State University,English (Composition & Rhetoric),PhD,F10,Accepted,E-mail,"(9, 2, 2010)",1265702400,,,,,,,American,"(16, 2, 2010)",1266307200,I received a preliminary email from the Engish Department with my acceptance and saying more information was to come in the next few weeks. But it was nice to see I was accepted!
7097,Duke University,English,PhD,F10,Rejected,E-mail,"(16, 2, 2010)",1266307200,3.9,800.0,710.0,5.5,False,710.0,American,"(16, 2, 2010)",1266307200,"Email to check website, where I found a cursory rejection letter. Expected and not too disappointing."
7098,Cornell University,Sociology,PhD,F10,Accepted,E-mail,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,full funding. unofficial email from a prof on the admissions committee. official email with details to come later today. good luck!
7099,Duke University,Economics,PhD,F10,Rejected,Website,"(16, 2, 2010)",1266307200,,,,,,,International,"(16, 2, 2010)",1266307200,
7100,Duke University,Economics,PhD,F10,Rejected,Website,"(16, 2, 2010)",1266307200,,,,,,,International,"(16, 2, 2010)",1266307200,
7101,"University Of California, Berkeley (UCB)",Computer,PhD,S10,,E-mail,"(16, 2, 2010)",1266307200,3.2,400.0,800.0,4.0,False,,International,"(16, 2, 2010)",1266307200,
7102,Duke University,English Literature,PhD,F10,Rejected,E-mail,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,
7103,Duke University,English,PhD,F10,Rejected,Website,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,Email to check website.
7104,Duke University,Economics,PhD,F10,Rejected,E-mail,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,tm: ilikefreefood
7105,Duke University,Economics,PhD,F10,Rejected,Website,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,
7106,Duke University,Economics,PhD,F10,Rejected,Website,"(16, 2, 2010)",1266307200,,,,,,,International,"(16, 2, 2010)",1266307200,
7107,"Northwestern University, Kellogg School Of Management",MECS,PhD,F10,Interview,E-mail,"(16, 2, 2010)",1266307200,,,,,,,International,"(16, 2, 2010)",1266307200,
7108,Yale University,Sociology,PhD,F10,Rejected,E-mail,"(16, 2, 2010)",1266307200,,,,,,,International,"(16, 2, 2010)",1266307200,
7109,Princeton University,Applied Math And Computational Science,PhD,F10,Rejected,E-mail,"(15, 2, 2010)",1266220800,,,,,,,American,"(16, 2, 2010)",1266307200,"3.92 uGPA, 4.00 gradGPA, BS Applied Math, BS Physics, MS Applied and Computational Math from respected universities, 3 research publications (5 research projects total+Masters Thesis), 8 conference presentations...don't know what they are looking for...."
7110,"University Of California, Berkeley (UCB)",Computer Science (CS),PhD,F10,Rejected,Website,"(16, 2, 2010)",1266307200,,,,,,,International,"(16, 2, 2010)",1266307200,got my first reject! waiting for CMU...
7111,Cornell University,Information Science,PhD,F10,Rejected,E-mail,"(16, 2, 2010)",1266307200,,,,,,,International,"(16, 2, 2010)",1266307200,
7112,Princeton University,Applied And Computational Mathematics,PhD,F10,Rejected,E-mail,"(15, 2, 2010)",1266220800,3.51,560.0,770.0,5.0,False,650.0,American,"(16, 2, 2010)",1266307200,MS in Mathematics.  MS GPA: 3.97
7113,The Rockefeller University,David Rockefeller Graduate Program,PhD,F10,Rejected,Postal Service,"(13, 2, 2010)",1266048000,,,,,,,International with US Degree,"(16, 2, 2010)",1266307200,
7114,University Of Florida,Computer Science,PhD,F10,Rejected,E-mail,"(16, 2, 2010)",1266307200,,,,,,,International,"(16, 2, 2010)",1266307200,As expected.
7115,"University Of California, Los Angeles (UCLA)",BBS - Interdepartmental Neuroscience Program,PhD,F10,Rejected,E-mail,"(12, 2, 2010)",1265961600,,570.0,800.0,4.0,False,,American,"(16, 2, 2010)",1266307200,
7116,"University of Texas, Austin (UT Austin)",Radio-Television-Film,PhD,F10,Rejected,E-mail,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,
7117,University Of Pennsylvania (UPenn),Sociology,PhD,F10,Rejected,E-mail,"(16, 2, 2010)",1266307200,,,,,,,International with US Degree,"(16, 2, 2010)",1266307200,Email to check website.
7118,Northwestern University,History - Latin America And The Caribbean,PhD,F10,Accepted,E-mail,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,I got an informal email three days ago but wanted to wait for the official word. This is AWESOME! Yeeeeeeepaaaaaa!
7119,"University Of North Carolina, Chapel Hill (UNC)",Philosophy,PhD,F10,Accepted,Phone,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,Very warm and detailed phone call from Prof. Postema; unofficial until letters are sent.
7120,Carnegie Mellon University (CMU),Materials Science & Engineering,PhD,F10,Accepted,Website,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,Physics major
7121,Emory University,Spanish,PhD,F10,Accepted,E-mail,"(15, 2, 2010)",1266220800,,,,,,,American,"(16, 2, 2010)",1266307200,Also received an e-mail from the DGS letting me know I'm in. I'm so happy - it's a wonderful program!
7122,Emory University,Comparative Literature,PhD,F10,Wait listed,E-mail,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,
7123,"University Of Illinois, Urbana Champaign (UIUC)",Physics,PhD,F10,Accepted,E-mail,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,
7124,Emory University,Spanish,PhD,F10,Accepted,E-mail,"(15, 2, 2010)",1266220800,,,,,,,American,"(16, 2, 2010)",1266307200,Yay!  So excited!  Received an email late last night saying that letter is on its way!
7125,"University of Texas, Austin (UT Austin)",Computer Science (CS),PhD,F10,,E-mail,"(12, 2, 2010)",1265961600,,,,,,,International with US Degree,"(16, 2, 2010)",1266307200,Enquired about my app status and got back a mail saying 90 acceptance letters have already been sent in hope of yielding 30 seats.
7126,"University Of Wisconsin, Madison",Chemistry,PhD,F10,Accepted,Website,"(16, 1, 2010)",1263628800,,,,,,,American,"(16, 2, 2010)",1266307200,
7127,Stanford University,Chemistry,PhD,F10,Accepted,Phone,"(9, 1, 2010)",1263024000,,,,,,,American,"(16, 2, 2010)",1266307200,
7128,"University Of California, Berkeley (UCB)",Chemistry,PhD,F10,Accepted,E-mail,"(15, 1, 2010)",1263542400,,,,,,,American,"(16, 2, 2010)",1266307200,
7129,Harvard University,Chemistry & Chemical Biology (CCB),PhD,F10,Accepted,Postal Service,"(19, 1, 2010)",1263888000,,,,,,,American,"(16, 2, 2010)",1266307200,
7130,University Of Michigan,Statistics,PhD,F10,Interview,Phone,"(16, 2, 2010)",1266307200,,,,,,,International,"(16, 2, 2010)",1266307200,"15 offers from 30 interviews, results will come out soon (intl)"
7131,"University Of California, Berkeley (UCB)",EECS (Electrical Engineering),PhD,F10,Rejected,E-mail,"(16, 2, 2010)",1266307200,3.9,630.0,800.0,4.5,False,,International,"(16, 2, 2010)",1266307200,email links to website. Finally some news though
7132,"University Of California, Berkeley (UCB)",Computer Science,PhD,F10,Rejected,Website,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,
7133,McGill University,Musicology,PhD,F10,Accepted,E-mail,"(16, 2, 2010)",1266307200,3.82,640.0,730.0,5.5,False,,American,"(16, 2, 2010)",1266307200,
7134,University Of Chicago,Astronomy,PhD,F10,Wait listed,E-mail,"(12, 2, 2010)",1265961600,,,,,,,American,"(16, 2, 2010)",1266307200,
7135,University Of Pennsylvania (UPenn),Sociology,PhD,F10,Rejected,E-mail,"(15, 2, 2010)",1266220800,3.68,630.0,780.0,4.0,False,,International with US Degree,"(16, 2, 2010)",1266307200,Email directing me to website. :(
7136,University Of Pennsylvania,Sociology,PhD,F10,Rejected,E-mail,"(16, 2, 2010)",1266307200,,,,,,,American,"(16, 2, 2010)",1266307200,
7137,Arizona State University (ASU),Architecture (M. Arch),MS,F10,Accepted,E-mail,"(15, 2, 2010)",1266220800,,,,,,,American,"(16, 2, 2010)",1266307200,received an email saying accepted and told to look at website for official letter.
7138,"University Of California, Berkeley (UCB)",Computer Science,PhD,F10,Rejected,Website,"(16, 2, 2010)",1266307200,,,,,,,International with US Degree,"(16, 2, 2010)",1266307200,
7139,"University Of California, Berkeley (UCB)",Computer Science,PhD,F10,Rejected,Website,"(16, 2, 2010)",1266307200,,,,,,,International,"(16, 2, 2010)",1266307200,
